  Frequency            , V(Ve)/ I(C1)         
  1.967886289707e+00  ,9.657936500290e+04  
  1.972422736115e+00  ,9.642353429518e+04  
  1.976969640112e+00  ,9.626816796384e+04  
  1.981527025805e+00  ,9.611326495746e+04  
  1.986094917357e+00  ,9.595882422761e+04  
  1.990673338987e+00  ,9.580484472589e+04  
  1.995262314969e+00  ,9.565132540620e+04  
  1.999861869633e+00  ,9.549826522578e+04  
  2.004472027365e+00  ,9.534566314020e+04  
  2.009092812609e+00  ,9.519351810998e+04  
  2.013724249862e+00  ,9.504182909498e+04  
  2.018366363682e+00  ,9.489059505701e+04  
  2.023019178678e+00  ,9.473981496118e+04  
  2.027682719521e+00  ,9.458948777223e+04  
  2.032357010936e+00  ,9.443961245785e+04  
  2.037042077706e+00  ,9.429018798666e+04  
  2.041737944669e+00  ,9.414121332859e+04  
  2.046444636725e+00  ,9.399268745613e+04  
  2.051162178826e+00  ,9.384460934242e+04  
  2.055890595984e+00  ,9.369697796281e+04  
  2.060629913270e+00  ,9.354979229426e+04  
  2.065380155810e+00  ,9.340305131465e+04  
  2.070141348791e+00  ,9.325675400408e+04  
  2.074913517455e+00  ,9.311089934391e+04  
  2.079696687104e+00  ,9.296548631672e+04  
  2.084490883097e+00  ,9.282051390801e+04  
  2.089296130854e+00  ,9.267598110347e+04  
  2.094112455851e+00  ,9.253188689000e+04  
  2.098939883623e+00  ,9.238823025811e+04  
  2.103778439766e+00  ,9.224501019709e+04  
  2.108628149933e+00  ,9.210222570052e+04  
  2.113489039837e+00  ,9.195987576111e+04  
  2.118361135248e+00  ,9.181795937483e+04  
  2.123244462000e+00  ,9.167647553879e+04  
  2.128139045983e+00  ,9.153542324992e+04  
  2.133044913147e+00  ,9.139480150942e+04  
  2.137962089502e+00  ,9.125460931792e+04  
  2.142890601120e+00  ,9.111484567859e+04  
  2.147830474130e+00  ,9.097550959575e+04  
  2.152781734724e+00  ,9.083660007522e+04  
  2.157744409153e+00  ,9.069811612361e+04  
  2.162718523727e+00  ,9.056005675039e+04  
  2.167704104820e+00  ,9.042242096583e+04  
  2.172701178864e+00  ,9.028520778064e+04  
  2.177709772353e+00  ,9.014841620941e+04  
  2.182729911843e+00  ,9.001204526613e+04  
  2.187761623950e+00  ,8.987609396763e+04  
  2.192804935350e+00  ,8.974056132870e+04  
  2.197859872785e+00  ,8.960544637226e+04  
  2.202926463053e+00  ,8.947074811527e+04  
  2.208004733019e+00  ,8.933646558145e+04  
  2.213094709606e+00  ,8.920259779417e+04  
  2.218196419800e+00  ,8.906914377719e+04  
  2.223309890651e+00  ,8.893610255710e+04  
  2.228435149270e+00  ,8.880347316122e+04  
  2.233572222830e+00  ,8.867125461865e+04  
  2.238721138568e+00  ,8.853944596098e+04  
  2.243881923783e+00  ,8.840804621763e+04  
  2.249054605836e+00  ,8.827705442372e+04  
  2.254239212152e+00  ,8.814646961295e+04  
  2.259435770221e+00  ,8.801629082145e+04  
  2.264644307593e+00  ,8.788651708748e+04  
  2.269864851884e+00  ,8.775714744857e+04  
  2.275097430772e+00  ,8.762818094468e+04  
  2.280342072000e+00  ,8.749961661861e+04  
  2.285598803375e+00  ,8.737145351275e+04  
  2.290867652768e+00  ,8.724369067050e+04  
  2.296148648112e+00  ,8.711632713953e+04  
  2.301441817408e+00  ,8.698936196489e+04  
  2.306747188720e+00  ,8.686279419520e+04  
  2.312064790176e+00  ,8.673662288078e+04  
  2.317394649968e+00  ,8.661084707404e+04  
  2.322736796357e+00  ,8.648546582477e+04  
  2.328091257665e+00  ,8.636047818699e+04  
  2.333458062281e+00  ,8.623588321830e+04  
  2.338837238659e+00  ,8.611167997250e+04  
  2.344228815320e+00  ,8.598786750877e+04  
  2.349632820848e+00  ,8.586444488653e+04  
  2.355049283896e+00  ,8.574141116508e+04  
  2.360478233181e+00  ,8.561876540725e+04  
  2.365919697486e+00  ,8.549650667498e+04  
  2.371373705662e+00  ,8.537463403302e+04  
  2.376840286625e+00  ,8.525314654818e+04  
  2.382319469359e+00  ,8.513204328639e+04  
  2.387811282913e+00  ,8.501132331709e+04  
  2.393315756405e+00  ,8.489098570771e+04  
  2.398832919019e+00  ,8.477102953257e+04  
  2.404362800007e+00  ,8.465145386133e+04  
  2.409905428687e+00  ,8.453225776832e+04  
  2.415460834445e+00  ,8.441344032804e+04  
  2.421029046736e+00  ,8.429500061742e+04  
  2.426610095082e+00  ,8.417693771245e+04  
  2.432204009074e+00  ,8.405925069375e+04  
  2.437810818369e+00  ,8.394193863951e+04  
  2.443430552694e+00  ,8.382500063258e+04  
  2.449063241845e+00  ,8.370843575484e+04  
  2.454708915685e+00  ,8.359224308981e+04  
