  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.570362804334e+00  ,-6.807296474552e+01  
  1.573982864466e+00  ,-6.798170133113e+01  
  1.577611269699e+00  ,-6.789046937126e+01  
  1.581248039270e+00  ,-6.779926894754e+01  
  1.584893192461e+00  ,-6.770810014097e+01  
  1.588546748598e+00  ,-6.761696303271e+01  
  1.592208727051e+00  ,-6.752585770417e+01  
  1.595879147237e+00  ,-6.743478423637e+01  
  1.599558028615e+00  ,-6.734374271036e+01  
  1.603245390690e+00  ,-6.725273320730e+01  
  1.606941253013e+00  ,-6.716175580847e+01  
  1.610645635178e+00  ,-6.707081059465e+01  
  1.614358556826e+00  ,-6.697989764690e+01  
  1.618080037643e+00  ,-6.688901704635e+01  
  1.621810097359e+00  ,-6.679816887369e+01  
  1.625548755750e+00  ,-6.670735320988e+01  
  1.629296032640e+00  ,-6.661657013592e+01  
  1.633051947894e+00  ,-6.652581973255e+01  
  1.636816521428e+00  ,-6.643510208016e+01  
  1.640589773200e+00  ,-6.634441726011e+01  
  1.644371723215e+00  ,-6.625376535263e+01  
  1.648162391525e+00  ,-6.616314643840e+01  
  1.651961798229e+00  ,-6.607256059802e+01  
  1.655769963470e+00  ,-6.598200791183e+01  
  1.659586907438e+00  ,-6.589148846041e+01  
  1.663412650370e+00  ,-6.580100232421e+01  
  1.667247212551e+00  ,-6.571054958351e+01  
  1.671090614311e+00  ,-6.562013031842e+01  
  1.674942876026e+00  ,-6.552974460921e+01  
  1.678804018123e+00  ,-6.543939253622e+01  
  1.682674061070e+00  ,-6.534907417889e+01  
  1.686553025389e+00  ,-6.525878961790e+01  
  1.690440931643e+00  ,-6.516853893276e+01  
  1.694337800447e+00  ,-6.507832220330e+01  
  1.698243652462e+00  ,-6.498813950941e+01  
  1.702158508395e+00  ,-6.489799093066e+01  
  1.706082389003e+00  ,-6.480787654651e+01  
  1.710015315090e+00  ,-6.471779643680e+01  
  1.713957307508e+00  ,-6.462775068063e+01  
  1.717908387158e+00  ,-6.453773935751e+01  
