  Frequency            , P( V(Vs4))           
  1.927524913191e+00  ,-1.614629398913e+02  
  1.931968317017e+00  ,-1.615962473084e+02  
  1.936421963947e+00  ,-1.617296974617e+02  
  1.940885877593e+00  ,-1.618632899960e+02  
  1.945360081623e+00  ,-1.619970245537e+02  
  1.949844599758e+00  ,-1.621309007771e+02  
  1.954339455775e+00  ,-1.622649183030e+02  
  1.958844673506e+00  ,-1.623990767684e+02  
  1.963360276836e+00  ,-1.625333758072e+02  
  1.967886289707e+00  ,-1.626678150522e+02  
  1.972422736115e+00  ,-1.628023941336e+02  
  1.976969640112e+00  ,-1.629371126778e+02  
  1.981527025805e+00  ,-1.630719703113e+02  
  1.986094917357e+00  ,-1.632069666584e+02  
  1.990673338987e+00  ,-1.633421013392e+02  
  1.995262314969e+00  ,-1.634773739730e+02  
  1.999861869633e+00  ,-1.636127841783e+02  
  2.004472027365e+00  ,-1.637483315685e+02  
  2.009092812609e+00  ,-1.638840157584e+02  
  2.013724249862e+00  ,-1.640198363576e+02  
  2.018366363682e+00  ,-1.641557929744e+02  
  2.023019178678e+00  ,-1.642918852167e+02  
  2.027682719521e+00  ,-1.644281126881e+02  
  2.032357010936e+00  ,-1.645644749920e+02  
  2.037042077706e+00  ,-1.647009717289e+02  
  2.041737944669e+00  ,-1.648376024966e+02  
  2.046444636725e+00  ,-1.649743668915e+02  
  2.051162178826e+00  ,-1.651112645078e+02  
  2.055890595984e+00  ,-1.652482949387e+02  
  2.060629913270e+00  ,-1.653854577739e+02  
  2.065380155810e+00  ,-1.655227526015e+02  
  2.070141348791e+00  ,-1.656601790084e+02  
  2.074913517455e+00  ,-1.657977365773e+02  
  2.079696687104e+00  ,-1.659354248919e+02  
  2.084490883097e+00  ,-1.660732435314e+02  
  2.089296130854e+00  ,-1.662111920750e+02  
  2.094112455851e+00  ,-1.663492700980e+02  
  2.098939883623e+00  ,-1.664874771760e+02  
  2.103778439766e+00  ,-1.666258128794e+02  
  2.108628149933e+00  ,-1.667642767800e+02  
  2.113489039837e+00  ,-1.669028684460e+02  
  2.118361135248e+00  ,-1.670415874431e+02  
  2.123244462000e+00  ,-1.671804333381e+02  
  2.128139045983e+00  ,-1.673194056910e+02  
  2.133044913147e+00  ,-1.674585040636e+02  
  2.137962089502e+00  ,-1.675977280152e+02  
  2.142890601120e+00  ,-1.677370771023e+02  
  2.147830474130e+00  ,-1.678765508805e+02  
  2.152781734724e+00  ,-1.680161489023e+02  
  2.157744409153e+00  ,-1.681558707191e+02  
  2.162718523727e+00  ,-1.682957158811e+02  
  2.167704104820e+00  ,-1.684356839355e+02  
  2.172701178864e+00  ,-1.685757744280e+02  
  2.177709772353e+00  ,-1.687159869027e+02  
  2.182729911843e+00  ,-1.688563209022e+02  
  2.187761623950e+00  ,-1.689967759669e+02  
  2.192804935350e+00  ,-1.691373516339e+02  
  2.197859872785e+00  ,-1.692780474423e+02  
  2.202926463053e+00  ,-1.694188629257e+02  
  2.208004733019e+00  ,-1.695597976179e+02  
  2.213094709606e+00  ,-1.697008510495e+02  
  2.218196419800e+00  ,-1.698420227521e+02  
  2.223309890651e+00  ,-1.699833122520e+02  
  2.228435149270e+00  ,-1.701247190761e+02  
  2.233572222830e+00  ,-1.702662427500e+02  
  2.238721138568e+00  ,-1.704078827962e+02  
  2.243881923783e+00  ,-1.705496387345e+02  
  2.249054605836e+00  ,-1.706915100864e+02  
  2.254239212152e+00  ,-1.708334963693e+02  
  2.259435770221e+00  ,-1.709755970998e+02  
  2.264644307593e+00  ,-1.711178117923e+02  
  2.269864851884e+00  ,-1.712601399599e+02  
  2.275097430772e+00  ,-1.714025811130e+02  
  2.280342072000e+00  ,-1.715451347626e+02  
  2.285598803375e+00  ,-1.716878004170e+02  
  2.290867652768e+00  ,-1.718305775823e+02  
  2.296148648112e+00  ,-1.719734657644e+02  
  2.301441817408e+00  ,-1.721164644665e+02  
  2.306747188720e+00  ,-1.722595731895e+02  
  2.312064790176e+00  ,-1.724027914357e+02  
  2.317394649968e+00  ,-1.725461187048e+02  
  2.322736796357e+00  ,-1.726895544914e+02  
  2.328091257665e+00  ,-1.728330982926e+02  
  2.333458062281e+00  ,-1.729767496047e+02  
  2.338837238659e+00  ,-1.731205079181e+02  
  2.344228815320e+00  ,-1.732643727274e+02  
  2.349632820848e+00  ,-1.734083435202e+02  
  2.355049283896e+00  ,-1.735524197877e+02  
  2.360478233181e+00  ,-1.736966010145e+02  
  2.365919697486e+00  ,-1.738408866888e+02  
  2.371373705662e+00  ,-1.739852762946e+02  
  2.376840286625e+00  ,-1.741297693156e+02  
  2.382319469359e+00  ,-1.742743652328e+02  
  2.387811282913e+00  ,-1.744190635288e+02  
  2.393315756405e+00  ,-1.745638636793e+02  
  2.398832919019e+00  ,-1.747087651665e+02  
  2.404362800007e+00  ,-1.748537674645e+02  
  2.409905428687e+00  ,-1.749988700499e+02  
  2.415460834445e+00  ,-1.751440723957e+02  
  2.421029046736e+00  ,-1.752893739757e+02  
  2.426610095082e+00  ,-1.754347742604e+02  
  2.432204009074e+00  ,-1.755802727226e+02  
  2.437810818369e+00  ,-1.757258688298e+02  
  2.443430552694e+00  ,-1.758715620513e+02  
  2.449063241845e+00  ,-1.760173518531e+02  
  2.454708915685e+00  ,-1.761632377018e+02  
  2.460367604148e+00  ,-1.763092190610e+02  
  2.466039337234e+00  ,-1.764552953943e+02  
  2.471724145016e+00  ,-1.766014661652e+02  
  2.477422057633e+00  ,-1.767477308342e+02  
  2.483133105296e+00  ,-1.768940888625e+02  
  2.488857318282e+00  ,-1.770405397085e+02  
  2.494594726943e+00  ,-1.771870828305e+02  
  2.500345361696e+00  ,-1.773337176857e+02  
