  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.432187899274e+00  ,-7.920229654526e+01  ,-4.242272171932e+01  
  1.435489433354e+00  ,-7.909367226971e+01  ,-4.235027643973e+01  
  1.438798578256e+00  ,-7.898509043320e+01  ,-4.227785940728e+01  
  1.442115351525e+00  ,-7.887655115570e+01  ,-4.220547070236e+01  
  1.445439770746e+00  ,-7.876805455839e+01  ,-4.213311040624e+01  
  1.448771853545e+00  ,-7.865960076193e+01  ,-4.206077859945e+01  
  1.452111617588e+00  ,-7.855118988700e+01  ,-4.198847536330e+01  
  1.455459080582e+00  ,-7.844282205455e+01  ,-4.191620077846e+01  
  1.458814260275e+00  ,-7.833449738549e+01  ,-4.184395492593e+01  
  1.462177174457e+00  ,-7.822621600056e+01  ,-4.177173788695e+01  
  1.465547840956e+00  ,-7.811797802125e+01  ,-4.169954974261e+01  
  1.468926277644e+00  ,-7.800978356827e+01  ,-4.162739057392e+01  
  1.472312502433e+00  ,-7.790163276280e+01  ,-4.155526046216e+01  
  1.475706533276e+00  ,-7.779352572589e+01  ,-4.148315948821e+01  
  1.479108388168e+00  ,-7.768546257888e+01  ,-4.141108773367e+01  
  1.482518085146e+00  ,-7.757744344291e+01  ,-4.133904527969e+01  
  1.485935642287e+00  ,-7.746946843948e+01  ,-4.126703220765e+01  
  1.489361077711e+00  ,-7.736153768941e+01  ,-4.119504859865e+01  
  1.492794409579e+00  ,-7.725365131410e+01  ,-4.112309453393e+01  
  1.496235656094e+00  ,-7.714580943533e+01  ,-4.105117009521e+01  
  1.499684835502e+00  ,-7.703801217398e+01  ,-4.097927536357e+01  
  1.503141966090e+00  ,-7.693025965148e+01  ,-4.090741042051e+01  
  1.506607066187e+00  ,-7.682255198952e+01  ,-4.083557534743e+01  
  1.510080154164e+00  ,-7.671488930950e+01  ,-4.076377022595e+01  
  1.513561248436e+00  ,-7.660727173268e+01  ,-4.069199513723e+01  
  1.517050367459e+00  ,-7.649969938050e+01  ,-4.062025016286e+01  
  1.520547529732e+00  ,-7.639217237441e+01  ,-4.054853538439e+01  
  1.524052753797e+00  ,-7.628469083603e+01  ,-4.047685088299e+01  
  1.527566058238e+00  ,-7.617725488653e+01  ,-4.040519674049e+01  
  1.531087461682e+00  ,-7.606986464777e+01  ,-4.033357303829e+01  
  1.534616982799e+00  ,-7.596252024092e+01  ,-4.026197985792e+01  
  1.538154640303e+00  ,-7.585522178766e+01  ,-4.019041728079e+01  
  1.541700452950e+00  ,-7.574796940921e+01  ,-4.011888538842e+01  
  1.545254439538e+00  ,-7.564076322726e+01  ,-4.004738426245e+01  
  1.548816618912e+00  ,-7.553360336297e+01  ,-3.997591398414e+01  
  1.552387009958e+00  ,-7.542648993806e+01  ,-3.990447463518e+01  
  1.555965631605e+00  ,-7.531942307373e+01  ,-3.983306629706e+01  
  1.559552502827e+00  ,-7.521240289160e+01  ,-3.976168905128e+01  
  1.563147642641e+00  ,-7.510542951284e+01  ,-3.969034297920e+01  
  1.566751070108e+00  ,-7.499850305872e+01  ,-3.961902816251e+01  
  1.570362804334e+00  ,-7.489162365079e+01  ,-3.954774468240e+01  
  1.573982864466e+00  ,-7.478479141020e+01  ,-3.947649262045e+01  
  1.577611269699e+00  ,-7.467800645821e+01  ,-3.940527205819e+01  
  1.581248039270e+00  ,-7.457126891589e+01  ,-3.933408307677e+01  
  1.584893192461e+00  ,-7.446457890490e+01  ,-3.926292575792e+01  
  1.588546748598e+00  ,-7.435793654563e+01  ,-3.919180018259e+01  
  1.592208727051e+00  ,-7.425134195987e+01  ,-3.912070643252e+01  
  1.595879147237e+00  ,-7.414479526845e+01  ,-3.904964458895e+01  
  1.599558028615e+00  ,-7.403829659212e+01  ,-3.897861473288e+01  
  1.603245390690e+00  ,-7.393184605212e+01  ,-3.890761694584e+01  
  1.606941253013e+00  ,-7.382544376920e+01  ,-3.883665130912e+01  
  1.610645635178e+00  ,-7.371908986415e+01  ,-3.876571790377e+01  
  1.614358556826e+00  ,-7.361278445791e+01  ,-3.869481681102e+01  
  1.618080037643e+00  ,-7.350652767099e+01  ,-3.862394811200e+01  
  1.621810097359e+00  ,-7.340031962417e+01  ,-3.855311188773e+01  
  1.625548755750e+00  ,-7.329416043784e+01  ,-3.848230821935e+01  
  1.629296032640e+00  ,-7.318805023272e+01  ,-3.841153718789e+01  
  1.633051947894e+00  ,-7.308198912905e+01  ,-3.834079887424e+01  
  1.636816521428e+00  ,-7.297597724729e+01  ,-3.827009335930e+01  
  1.640589773200e+00  ,-7.287001470784e+01  ,-3.819942072414e+01  
  1.644371723215e+00  ,-7.276410163039e+01  ,-3.812878104928e+01  
  1.648162391525e+00  ,-7.265823813569e+01  ,-3.805817441590e+01  
  1.651961798229e+00  ,-7.255242434339e+01  ,-3.798760090439e+01  
  1.655769963470e+00  ,-7.244666037315e+01  ,-3.791706059546e+01  
  1.659586907438e+00  ,-7.234094634502e+01  ,-3.784655356967e+01  
  1.663412650370e+00  ,-7.223528237885e+01  ,-3.777607990780e+01  
  1.667247212551e+00  ,-7.212966859398e+01  ,-3.770563969017e+01  
  1.671090614311e+00  ,-7.202410511021e+01  ,-3.763523299717e+01  
  1.674942876026e+00  ,-7.191859204691e+01  ,-3.756485990941e+01  
  1.678804018123e+00  ,-7.181312952292e+01  ,-3.749452050691e+01  
  1.682674061070e+00  ,-7.170771765782e+01  ,-3.742421486976e+01  
  1.686553025389e+00  ,-7.160235657063e+01  ,-3.735394307854e+01  
  1.690440931643e+00  ,-7.149704638029e+01  ,-3.728370521311e+01  
  1.694337800447e+00  ,-7.139178720518e+01  ,-3.721350135335e+01  
  1.698243652462e+00  ,-7.128657916472e+01  ,-3.714333157939e+01  
  1.702158508395e+00  ,-7.118142237685e+01  ,-3.707319597091e+01  
  1.706082389003e+00  ,-7.107631696031e+01  ,-3.700309460771e+01  
  1.710015315090e+00  ,-7.097126303304e+01  ,-3.693302756960e+01  
  1.713957307508e+00  ,-7.086626071348e+01  ,-3.686299493589e+01  
  1.717908387158e+00  ,-7.076131011982e+01  ,-3.679299678646e+01  
  1.721868574986e+00  ,-7.065641136927e+01  ,-3.672303320032e+01  
  1.725837891990e+00  ,-7.055156458034e+01  ,-3.665310425721e+01  
  1.729816359215e+00  ,-7.044676987000e+01  ,-3.658321003606e+01  
  1.733803997754e+00  ,-7.034202735571e+01  ,-3.651335061603e+01  
  1.737800828749e+00  ,-7.023733715466e+01  ,-3.644352607615e+01  
  1.741806873392e+00  ,-7.013269938441e+01  ,-3.637373649555e+01  
  1.745822152920e+00  ,-7.002811416136e+01  ,-3.630398195277e+01  
  1.749846688625e+00  ,-6.992358160242e+01  ,-3.623426252680e+01  
  1.753880501842e+00  ,-6.981910182416e+01  ,-3.616457829601e+01  
  1.757923613959e+00  ,-6.971467494292e+01  ,-3.609492933916e+01  
  1.761976046412e+00  ,-6.961030107510e+01  ,-3.602531573444e+01  
  1.766037820686e+00  ,-6.950598033656e+01  ,-3.595573756022e+01  
  1.770108958317e+00  ,-6.940171284304e+01  ,-3.588619489461e+01  
  1.774189480890e+00  ,-6.929749871065e+01  ,-3.581668781582e+01  
  1.778279410039e+00  ,-6.919333805454e+01  ,-3.574721640172e+01  
  1.782378767448e+00  ,-6.908923098978e+01  ,-3.567778072988e+01  
  1.786487574852e+00  ,-6.898517763205e+01  ,-3.560838087834e+01  
  1.790605854035e+00  ,-6.888117809571e+01  ,-3.553901692437e+01  
  1.794733626833e+00  ,-6.877723249575e+01  ,-3.546968894557e+01  
  1.798870915129e+00  ,-6.867334094628e+01  ,-3.540039701917e+01  
  1.803017740860e+00  ,-6.856950356203e+01  ,-3.533114122244e+01  
  1.807174126011e+00  ,-6.846572045678e+01  ,-3.526192163237e+01  
  1.811340092620e+00  ,-6.836199174415e+01  ,-3.519273832567e+01  
  1.815515662773e+00  ,-6.825831753819e+01  ,-3.512359137936e+01  
