  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.963360276836e+00  ,-5.937865792048e+01  
  1.967886289707e+00  ,-5.929081419632e+01  
  1.972422736115e+00  ,-5.920300942118e+01  
  1.976969640112e+00  ,-5.911524366519e+01  
  1.981527025805e+00  ,-5.902751699777e+01  
  1.986094917357e+00  ,-5.893982948808e+01  
  1.990673338987e+00  ,-5.885218120556e+01  
  1.995262314969e+00  ,-5.876457221909e+01  
  1.999861869633e+00  ,-5.867700259707e+01  
  2.004472027365e+00  ,-5.858947240828e+01  
  2.009092812609e+00  ,-5.850198172050e+01  
  2.013724249862e+00  ,-5.841453060200e+01  
  2.018366363682e+00  ,-5.832711912055e+01  
  2.023019178678e+00  ,-5.823974734331e+01  
  2.027682719521e+00  ,-5.815241533780e+01  
  2.032357010936e+00  ,-5.806512317075e+01  
  2.037042077706e+00  ,-5.797787090886e+01  
  2.041737944669e+00  ,-5.789065861877e+01  
  2.046444636725e+00  ,-5.780348636659e+01  
  2.051162178826e+00  ,-5.771635421843e+01  
  2.055890595984e+00  ,-5.762926223964e+01  
  2.060629913270e+00  ,-5.754221049575e+01  
  2.065380155810e+00  ,-5.745519905207e+01  
  2.070141348791e+00  ,-5.736822797324e+01  
  2.074913517455e+00  ,-5.728129732418e+01  
  2.079696687104e+00  ,-5.719440716897e+01  
  2.084490883097e+00  ,-5.710755757193e+01  
  2.089296130854e+00  ,-5.702074859657e+01  
  2.094112455851e+00  ,-5.693398030661e+01  
  2.098939883623e+00  ,-5.684725276508e+01  
  2.103778439766e+00  ,-5.676056603531e+01  
  2.108628149933e+00  ,-5.667392017964e+01  
  2.113489039837e+00  ,-5.658731526046e+01  
  2.118361135248e+00  ,-5.650075134012e+01  
  2.123244462000e+00  ,-5.641422847988e+01  
  2.128139045983e+00  ,-5.632774674182e+01  
  2.133044913147e+00  ,-5.624130618696e+01  
  2.137962089502e+00  ,-5.615490687610e+01  
  2.142890601120e+00  ,-5.606854886994e+01  
  2.147830474130e+00  ,-5.598223222862e+01  
  2.152781734724e+00  ,-5.589595701241e+01  
  2.157744409153e+00  ,-5.580972328091e+01  
  2.162718523727e+00  ,-5.572353109337e+01  
  2.167704104820e+00  ,-5.563738050899e+01  
  2.172701178864e+00  ,-5.555127158652e+01  
  2.177709772353e+00  ,-5.546520438449e+01  
  2.182729911843e+00  ,-5.537917896082e+01  
  2.187761623950e+00  ,-5.529319537332e+01  
  2.192804935350e+00  ,-5.520725367997e+01  
  2.197859872785e+00  ,-5.512135393728e+01  
  2.202926463053e+00  ,-5.503549620246e+01  
  2.208004733019e+00  ,-5.494968053196e+01  
  2.213094709606e+00  ,-5.486390698204e+01  
  2.218196419800e+00  ,-5.477817560837e+01  
  2.223309890651e+00  ,-5.469248646665e+01  
  2.228435149270e+00  ,-5.460683961206e+01  
  2.233572222830e+00  ,-5.452123509922e+01  
  2.238721138568e+00  ,-5.443567298285e+01  
  2.243881923783e+00  ,-5.435015331723e+01  
  2.249054605836e+00  ,-5.426467615590e+01  
  2.254239212152e+00  ,-5.417924155249e+01  
  2.259435770221e+00  ,-5.409384956001e+01  
  2.264644307593e+00  ,-5.400850023132e+01  
  2.269864851884e+00  ,-5.392319361882e+01  
  2.275097430772e+00  ,-5.383792977488e+01  
  2.280342072000e+00  ,-5.375270875090e+01  
  2.285598803375e+00  ,-5.366753059836e+01  
  2.290867652768e+00  ,-5.358239536818e+01  
  2.296148648112e+00  ,-5.349730311109e+01  
  2.301441817408e+00  ,-5.341225387730e+01  
  2.306747188720e+00  ,-5.332724771701e+01  
  2.312064790176e+00  ,-5.324228467946e+01  
  2.317394649968e+00  ,-5.315736481362e+01  
  2.322736796357e+00  ,-5.307248816895e+01  
  2.328091257665e+00  ,-5.298765479362e+01  
  2.333458062281e+00  ,-5.290286473544e+01  
  2.338837238659e+00  ,-5.281811804262e+01  
  2.344228815320e+00  ,-5.273341476189e+01  
  2.349632820848e+00  ,-5.264875494071e+01  
  2.355049283896e+00  ,-5.256413862516e+01  
  2.360478233181e+00  ,-5.247956586204e+01  
  2.365919697486e+00  ,-5.239503669666e+01  
  2.371373705662e+00  ,-5.231055117462e+01  
  2.376840286625e+00  ,-5.222610934075e+01  
  2.382319469359e+00  ,-5.214171123998e+01  
  2.387811282913e+00  ,-5.205735691620e+01  
  2.393315756405e+00  ,-5.197304641382e+01  
  2.398832919019e+00  ,-5.188877977565e+01  
  2.404362800007e+00  ,-5.180455704519e+01  
  2.409905428687e+00  ,-5.172037826479e+01  
  2.415460834445e+00  ,-5.163624347708e+01  
  2.421029046736e+00  ,-5.155215272375e+01  
  2.426610095082e+00  ,-5.146810604642e+01  
  2.432204009074e+00  ,-5.138410348583e+01  
  2.437810818369e+00  ,-5.130014508285e+01  
  2.443430552694e+00  ,-5.121623087762e+01  
  2.449063241845e+00  ,-5.113236091012e+01  
  2.454708915685e+00  ,-5.104853521965e+01  
  2.460367604148e+00  ,-5.096475384536e+01  
  2.466039337234e+00  ,-5.088101682599e+01  
  2.471724145016e+00  ,-5.079732419943e+01  
  2.477422057633e+00  ,-5.071367600362e+01  
  2.483133105296e+00  ,-5.063007227588e+01  
  2.488857318282e+00  ,-5.054651305316e+01  
  2.494594726943e+00  ,-5.046299837214e+01  
  2.500345361696e+00  ,-5.037952826877e+01  
  2.506109253032e+00  ,-5.029610277879e+01  
  2.511886431510e+00  ,-5.021272193733e+01  
  2.517676927759e+00  ,-5.012938577941e+01  
  2.523480772481e+00  ,-5.004609433955e+01  
  2.529297996446e+00  ,-4.996284765139e+01  
  2.535128630498e+00  ,-4.987964574872e+01  
  2.540972705549e+00  ,-4.979648866466e+01  
